id,SMILES_input,fingerprints_input_ECFP4,SMILES_out,SMILES_output_ECFP4
486,C C / C = C ( / [Si] ( C ) ( C ) C 1 = C C = C C = C 1 ) \ S,60 80 229 237 260 294 302 378 389 401 479 519 528 568 598 636 656 694 710 714 807 936 1036 1057 1066 1088 1124 1199 1380 1454 1465 1517 1540 1605 1670 1750 1797 1810 1873 1947,CC/C=C\1/C(=C(/C(=C/CC/C=C(\[Si](C)(C)C2=CC=CC=C2)/S)/O1)\S)[Si](C)(C)C3=CC=CC=C3,CC/C=C\1/C(=C(/C(=C/CC/C=C(\[Si](C)(C)C2=CC=CC=C2)/S)/O1)\S)[Si](C)(C)C3=CC=CC=C3
487,C C ( C ) C N C ( = O ) C = C C 1 = C C = C ( C = C 1 ) Br,1 25 28 31 80 135 141 155 197 259 283 327 330 552 606 650 694 728 807 835 878 909 923 976 978 1035 1057 1152 1157 1181 1308 1325 1380 1547 1631 1649 1702 1727 1750 1847 1848 1873 1917 1956 2033 2038,CC(C)CNC(=O)/C=C/C1=CC=C(C=C1)[Ge](C)(C)CNO,CC(C)CNC(=O)/C=C/C1=CC=C(C=C1)[Ge](C)(C)CNO
488,C C C ( = C C C 1 = C C = C C = C 1 N ) C C,21 43 80 82 94 294 335 397 451 479 494 511 623 694 700 807 821 898 910 955 1057 1076 1088 1171 1199 1349 1380 1444 1457 1597 1598 1648 1682 1750 1873 1895 1932 1938 1988,CC/C(=C\CC1=CC=CC=C1N)/C/C=C(\CC)/C(=C=C=N)C2=CC=CC=C2N,CC/C(=C\CC1=CC=CC=C1N)/C/C=C(\CC)/C(=C=C=N)C2=CC=CC=C2N
489,C C 1 C C C C C 1 N C ( = O ) C N 2 C = C ( N = C 2 ) [N+] ( = O ) [O-],41 46 80 130 192 261 308 337 373 378 387 417 464 611 650 715 736 747 753 807 818 838 880 890 892 926 932 935 961 1019 1028 1057 1106 1152 1161 1195 1216 1309 1312 1325 1335 1362 1367 1373 1380 1403 1452 1472 1737 1859 1873 1905 1917 1963 2008 2024 2036,CC1CCCCC1NC(=O)CN2C=C(N=C2)[N+](=O)[O-],CC1CCCCC1NC(=O)CN2C=C(N=C2)[N+](=O)[O-]
490,C C ( = O ) O C C [C@@] 1 2 C [C@] ( C [C@@] 1 ( C C [C@@H] 3 [C@@] 2 ( C C C C 3 ( C ) C ) C ) C ) ( C ) O,13 80 117 119 147 168 191 241 259 267 312 447 478 483 492 533 558 591 650 695 754 760 789 795 807 834 846 926 1017 1019 1028 1035 1057 1060 1096 1131 1154 1162 1232 1274 1277 1300 1325 1358 1436 1500 1510 1513 1531 1716 1917 2028,CC(=O)OCC[C@@]1(CC[C@]2(CC[C@@H]3[C@]([C@@]2(C1)O)(CC[C@@H]4[C@@]3(CCCC4(C)C)C)C)C)C(=O)[C@]5(CC[C@](C5)(C)O)C,CC(=O)OCC[C@@]1(CC[C@]2(CC[C@@H]3[C@]([C@@]2(C1)O)(CC[C@@H]4[C@@]3(CCCC4(C)C)C)C)C)C(=O)[C@]5(CC[C@](C5)(C)O)C
491,C C 1 = C C ( = C ( C = C 1 ) F ) N C ( = O ) N C 2 = C C = C ( C = C 2 ) C 3 = C S C 4 = C 3 C ( = N C = C 4 C 5 = C S C = C 5 ) N,10 14 56 131 191 194 216 222 235 278 291 295 331 352 378 437 510 552 573 650 659 675 690 699 725 726 743 807 843 861 875 887 896 941 987 1013 1057 1077 1152 1160 1171 1210 1211 1224 1260 1338 1380 1393 1403 1429 1444 1452 1457 1459 1519 1535 1567 1704 1722 1750 1769 1771 1806 1816 1823 1840 1873 1892 1897 1917 1928 1930 1946 1959 1984 1989 1990 2003,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN=CN=C5)N,CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN=CN=C5)N
492,C C C C C C C C C C C C C C ( = O ) N / N = C \ C 1 = C C ( = C C = C 1 ) O C ( = O ) C 2 = C ( C = C ( C = C 2 ) Cl ) Cl,5 18 41 67 80 145 165 216 267 294 309 318 322 366 460 466 555 561 562 572 582 591 650 694 695 725 794 807 816 862 864 866 875 924 1033 1039 1057 1088 1143 1147 1152 1155 1197 1204 1209 1267 1293 1308 1353 1380 1444 1461 1559 1564 1646 1656 1683 1718 1729 1750 1814 1867 1873 1876 1911 1917 1991 2033,CCCCCCCCCCCCCCCCCC(=O)N/N=C/C1=CC(=CC=C1)OC(=O)C2=C(C=C(C=C2)Cl)/C=N/NOO,CCCCCCCCCCCCCCCCCC(=O)N/N=C/C1=CC(=CC=C1)OC(=O)C2=C(C=C(C=C2)Cl)/C=N/NOO
493,C C 1 = C C ( = C C = C 1 ) N 2 C 3 = C ( C C N 3 ) C ( = N 2 ) C 4 C C C C C 4,2 49 108 277 305 361 378 404 503 761 812 819 875 890 915 926 935 947 968 1013 1019 1028 1039 1049 1055 1057 1088 1114 1129 1325 1358 1380 1387 1463 1722 1738 1741 1750 1823 1825 1852 1866 1873 1926 1943 1956 1999 2000,CC1=CC(=CC=C1)N2C3=C(CCN3)C(=N2)C4CCCCC4,CC1=CC(=CC=C1)N2C3=C(CCN3)C(=N2)C4CCCCC4
494,C C C ( C ) ( C # C ) N C ( = O ) C = C C 1 = C C ( = C ( C ( = C 1 ) O C ) O C ) O C,31 80 101 114 239 249 282 290 294 295 299 327 333 354 371 392 410 466 650 674 694 695 792 807 835 841 843 875 883 915 974 1002 1057 1106 1118 1152 1181 1183 1308 1315 1380 1476 1536 1599 1608 1693 1769 1828 1858 1873 1892 1917 1970 2033 2044,CCC(C)(C#C)NC(=O)/C=C/C1=CC(=C(C(=C1)OC)OC)/C=C/C(=O)NC(C)(CC)C#CC(=O)/C=C/C2=CC(=C(C(=C2)OC)OC)OC,CCC(C)(C#C)NC(=O)/C=C/C1=CC(=C(C(=C1)OC)OC)/C=C/C(=O)NC(C)(CC)C#CC(=O)/C=C/C2=CC(=C(C(=C2)OC)OC)OC
495,C C 1 = C ( C = C ( C = C 1 ) C ( = O ) N 2 C C C 3 = C C = C C = C 3 2 ) C,24 177 277 503 515 618 626 648 650 691 780 807 875 926 927 932 933 935 1057 1087 1088 1199 1236 1273 1295 1380 1385 1387 1391 1401 1450 1480 1504 1539 1580 1647 1691 1697 1705 1708 1715 1722 1738 1750 1766 1873 1888 1895 1917 1973,CC1=C(C=C(C=C1)C(=O)N2CCC3=CC=CC=C32)N4CCC(=C5CCN(C6=CC=CC=C65)C(=O)C7=CC(=C(C=C7)C)C)C=C4C,CC1=C(C=C(C=C1)C(=O)N2CCC3=CC=CC=C32)N4CCC(=C5CCN(C6=CC=CC=C65)C(=O)C7=CC(=C(C=C7)C)C)C=C4C
496,C C N 1 C 2 = C C = C C = C 2 C ( = C ( C 1 = O ) [N+] ( = O ) [O-] ) N C 3 = C C = C ( C = C 3 ) C ( C ) C,1 31 34 45 80 81 191 283 294 314 381 389 449 465 471 491 504 526 561 598 634 650 708 715 753 759 802 838 843 850 935 950 1057 1088 1152 1176 1195 1199 1239 1285 1357 1365 1380 1441 1482 1508 1524 1559 1573 1635 1649 1735 1750 1804 1853 1873 1963 2037,[B](C1=CC=CC=C1)N2C3=CC=CC=C3C(=C(C2=O)[N+](=O)[O-])NC4=CC=C(C=C4)C(C)C,[B](C1=CC=CC=C1)N2C3=CC=CC=C3C(=C(C2=O)[N+](=O)[O-])NC4=CC=C(C=C4)C(C)C
497,C C C C C N ( C C ( = O ) N C 1 = N O C ( = C 1 ) C ) C ( = O ) C 2 = C C ( = C ( C = C 2 ) C ) [N+] ( = O ) [O-],23 41 80 95 158 248 268 294 311 354 363 378 428 463 504 591 643 650 651 656 715 716 753 794 805 807 828 838 875 881 959 978 1037 1057 1065 1099 1152 1184 1190 1195 1221 1272 1285 1331 1357 1380 1385 1391 1398 1444 1528 1542 1579 1669 1691 1697 1722 1742 1750 1816 1861 1873 1911 1917 1951 1963 1984 1999,CCCCCN(CC(=O)NC1=NOC(=C1)C)C(=O)C2=CC(=C(C=C2)C)[N+](=O)[O-],CCCCCN(CC(=O)NC1=NOC(=C1)C)C(=O)C2=CC(=C(C=C2)C)[N+](=O)[O-]
498,C C 1 = C C = C ( C = C 1 ) S ( = O ) ( = O ) O C 2 = C ( C 3 = C C = C C = C 3 C = C 2 ) C 4 = C ( C = C C 5 = C C = C C = C 5 4 ) O,94 186 203 210 233 235 319 322 348 350 440 516 650 695 715 803 807 967 1051 1057 1087 1088 1104 1133 1141 1199 1265 1357 1363 1380 1471 1475 1476 1548 1573 1602 1607 1722 1747 1750 1764 1823 1855 1873 1920 1939 1944 1970,CC1=CC=C(C=C1)S(=O)(=O)OC2=C(C3=CC=CC=C3C=C2)C4=C(C=CC5=CC=CC=C54)OS(=O)(=O)C6=CC=C(C=C6)S(=O)(=O)O,CC1=CC=C(C=C1)S(=O)(=O)OC2=C(C3=CC=CC=C3C=C2)C4=C(C=CC5=CC=CC=C54)OS(=O)(=O)C6=CC=C(C=C6)S(=O)(=O)O
499,C C 1 = C ( [C@H] ( C 2 = C ( N 1 ) C [C@@H] ( C C 2 = O ) C 3 = C C = C ( C = C 3 ) Cl ) C 4 = C C ( = C C = C 4 ) O ) C ( = O ) O C C 5 = C C = C C = C 5,65 80 145 147 211 216 231 256 257 300 314 381 389 508 555 561 650 674 684 695 745 751 807 816 849 871 875 926 961 1005 1019 1039 1057 1060 1066 1070 1088 1114 1158 1169 1171 1199 1279 1298 1321 1380 1419 1454 1464 1488 1582 1602 1651 1663 1683 1722 1750 1754 1803 1873 1876 1914 1917 2000 2042,CC1=C([C@@H](C2=C(N1)C[C@H](CC2=O)C3=CC=C(C=C3)Cl)C4=CC(=CC=C4)O)C(=O)OCC5=CC=CC=C5,CC1=C([C@@H](C2=C(N1)C[C@H](CC2=O)C3=CC=C(C=C3)Cl)C4=CC(=CC=C4)O)C(=O)OCC5=CC=CC=C5
500,C C N ( C C ) S ( = O ) ( = O ) N P ( = S ) ( N ) N,30 80 97 171 192 202 228 274 294 324 350 423 557 650 756 778 782 805 869 881 932 1057 1060 1152 1171 1211 1305 1328 1398 1411 1476 1631 1702 1729 1820 1936 1950 2033,CCN(CC)S(=O)(=O)NP(=S)(N)NN(CC)S(=O)(=O)NP(=S)(N)N(CC)S(=O)(=O)N(CC)CC,CCN(CC)S(=O)(=O)NP(=S)(N)NN(CC)S(=O)(=O)NP(=S)(N)N(CC)S(=O)(=O)N(CC)CC
501,[nH] 1 c 2 c ( c ( c 1 ) / C = N / N C 1 = N C C C C C 1 ) c c c c 2,2 68 99 119 127 201 310 313 328 378 490 509 623 687 694 708 725 747 806 860 864 881 893 926 961 976 1028 1069 1088 1114 1152 1199 1205 1322 1357 1380 1415 1455 1481 1517 1573 1706 1738 1750 1779 1783 1858 1867 1873 1879 1937 2045,C1CCC(=NCC1)NN=CC2=CNC3=CC=CC=C32,C1CCC(=NCC1)NN=CC2=CNC3=CC=CC=C32
502,C 1 = C C = C ( C = C 1 ) N C 2 = C ( C ( = N C = N 2 ) N C 3 = C C ( = C ( C = C 3 ) Cl ) Cl ) [N+] ( = O ) [O-],22 28 35 71 81 191 329 366 378 389 489 491 534 545 561 650 666 703 708 715 729 753 802 838 843 875 888 996 1014 1020 1086 1088 1150 1152 1164 1195 1199 1367 1380 1393 1402 1407 1452 1524 1554 1581 1622 1655 1683 1750 1810 1873 1963 2037,C1=CC=C(C=C1)NC2=C(C(=NC=N2)NC3=NN=C(N=N3)NC4=CC(=C(C=C4)Cl)Cl)[N+](=O)[O-],C1=CC=C(C=C1)NC2=C(C(=NC=N2)NC3=NN=C(N=N3)NC4=CC(=C(C=C4)Cl)Cl)[N+](=O)[O-]
503,C C C C O C ( = O ) C 1 = C C = C C = C 1 C ( = O ) O C ( C C ( C ) C ) C # C C C,1 13 23 69 80 145 147 151 252 263 283 294 310 346 515 558 564 591 650 674 680 695 718 759 794 807 823 829 935 1032 1057 1088 1168 1199 1211 1311 1380 1447 1525 1570 1592 1626 1673 1699 1734 1750 1847 1873 1911 1917 1991,CCCCOC(=O)C1=CC=CC=C1C(=O)OC(CC(C)C)C#CC(C)OC(=O)C2=CC=CC=C2C(=O)OCCCC,CCCCOC(=O)C1=CC=CC=C1C(=O)OC(CC(C)C)C#CC(C)OC(=O)C2=CC=CC=C2C(=O)OCCCC
504,C C 1 = C ( C ( N 2 C ( = N N = N 2 ) N 1 ) C 3 = C ( C ( = C C = C 3 ) O C ) O C ) C ( = O ) O C C = C,7 12 71 80 145 147 186 199 249 257 333 352 371 378 613 650 694 695 699 801 807 816 841 931 935 940 955 977 997 1019 1027 1039 1057 1060 1088 1114 1164 1180 1237 1300 1321 1326 1366 1380 1395 1410 1427 1437 1443 1464 1468 1486 1536 1599 1608 1645 1651 1722 1750 1783 1822 1873 1883 1893 1917 1955 1970 1978 1985,CC1=C(C(N2C(=NN=N2)N1)C3=C(C(=CC=C3)OC)OC)C(=O)OCC=C,CC1=C(C(N2C(=NN=N2)N1)C3=C(C(=CC=C3)OC)OC)C(=O)OCC=C
505,C 1 C ( O C ( O C 1 C 2 = C C = C ( C = C 2 ) C O ) C 3 = C C ( = C C = C 3 ) N C ( = O ) C C C C C ( = O ) N O ) C S C 4 = C C = C ( C = C 4 ) C ( = O ) O,41 58 67 80 88 106 116 157 184 191 222 268 310 341 389 456 466 490 583 650 656 703 754 784 807 811 837 848 853 854 875 878 901 926 942 955 971 991 1019 1027 1039 1073 1083 1088 1138 1141 1152 1163 1227 1242 1255 1262 1267 1272 1279 1292 1338 1380 1382 1385 1391 1429 1534 1558 1564 1570 1571 1631 1650 1663 1697 1718 1734 1750 1754 1759 1803 1816 1862 1873 1911 1917 1921 2035,C1[C@H](O[C@H](O[C@H]1C2=CC=C(C=C2)CO)C3=CC(=CC=C3)NC(=O)CCCCC(=O)NO)CSC4=CC=C(C=C4)C(=O)O,C1[C@H](O[C@H](O[C@H]1C2=CC=C(C=C2)CO)C3=CC(=CC=C3)NC(=O)CCCCC(=O)NO)CSC4=CC=C(C=C4)C(=O)O
506,C 1 C C ( C N ( C 1 ) C C ( = O ) O ) C C 2 = C N C 3 = C C = C C = C 3 2,29 61 80 119 164 307 328 364 389 446 458 484 618 650 683 687 739 806 807 906 926 935 970 1019 1028 1088 1114 1184 1199 1208 1248 1312 1325 1349 1357 1380 1422 1441 1480 1573 1585 1607 1700 1737 1750 1783 1791 1873 1879 1917 1937,C1CC(CN(C1)CC(=O)O)CC2=CNC3=CC=CC=C32,C1CC(CN(C1)CC(=O)O)CC2=CNC3=CC=CC=C32
507,C C O C ( = O ) C 1 = C ( C = C ( C = C 1 ) N C ( = O ) C ) O C C 2 = N C 3 = C C = C C = C 3 C = C 2,67 80 145 147 184 191 203 245 289 294 311 378 530 650 684 695 718 724 745 758 759 801 807 843 849 875 903 984 1017 1053 1057 1087 1088 1097 1152 1199 1226 1238 1249 1374 1380 1429 1452 1468 1609 1673 1722 1743 1750 1816 1855 1873 1900 1917 1951 1970 1974 1991 1992,CCOC(=O)C1=C(C=C(C=C1)NC(=O)C)ONNC(=O)C2=C(C=C(C=C2)NC(=O)C)OCC3=NC4=CC=CC=C4C=C3,CCOC(=O)C1=C(C=C(C=C1)NC(=O)C)ONNC(=O)C2=C(C=C(C=C2)NC(=O)C)OCC3=NC4=CC=CC=C4C=C3
508,C [C@H] ( C = O ) [C@H] 1 C C [C@@H] 2 [C@@] 1 ( C C C [C@@H] 2 O C ( = O ) C ) C,1 8 10 92 243 283 508 519 521 537 562 622 638 650 694 695 798 807 926 973 978 1004 1017 1019 1028 1035 1057 1060 1092 1096 1126 1162 1208 1216 1240 1269 1274 1325 1448 1477 1492 1555 1656 1701 1893 1917 1922 1995,C[C@H](C=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CCC[C@@H]4OC(=O)C)C)C,C[C@H](C=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CCC[C@@H]4OC(=O)C)C)C
509,C 1 = C C = C 2 C ( = C 1 ) C = C C ( = C 2 S C 3 = C ( C = C C 4 = C C = C C = C 4 3 ) O ) O,6 11 116 203 334 426 494 552 608 782 794 807 871 886 941 1016 1087 1088 1104 1108 1199 1357 1380 1413 1426 1475 1501 1515 1573 1602 1607 1688 1716 1732 1740 1750 1855 1873 1885 2016,C1=CC=C2C(=C1)C=CC(=C2SC3=C(C=CC4=CC=CC=C43)O)O,C1=CC=C2C(=C1)C=CC(=C2SC3=C(C=CC4=CC=CC=C43)O)O
510,C 1 = C C = C ( C = C 1 ) C = C C ( = O ) O C 2 = C C 3 = C ( C = C 2 ) C ( = O ) C ( = C C 4 = C C = C O 4 ) O 3,31 65 79 176 221 273 281 314 322 344 352 389 419 424 474 487 550 555 643 650 656 680 694 695 718 787 807 835 875 878 888 938 1010 1073 1088 1138 1199 1233 1252 1308 1353 1361 1380 1404 1476 1523 1661 1729 1750 1794 1810 1820 1873 1886 1892 1905 1917 1926 1970 1978 2023 2033 2045,C1=CC=C(C=C1)/C=C/C(=O)OC2=CC3=C(C=C2)C(=O)/C(=C/C4=CC=CO4)/O3,C1=CC=C(C=C1)/C=C/C(=O)OC2=CC3=C(C=C2)C(=O)/C(=C/C4=CC=CO4)/O3
511,C 1 C C 2 C C C ( = C 1 ) C C 2,7 87 206 274 414 449 474 500 524 636 926 939 1019 1121 1147 1232 1252 1325 1362 1380 1446 1608 1616 1645 1738 1739 1744 1774 1781 1873 1916,C1CC2CCC(=C1)C(C(=[NH+]C3CCC(CC3)CC2)[NH+]=C4CCC(CC4)[NH+]=C5CCC6CCC(CC5)CC6)OC7=CCCC8CCC7=CCC8,C1CC2CCC(=C1)C(C(=[NH+]C3CCC(CC3)CC2)[NH+]=C4CCC(CC4)[NH+]=C5CCC6CCC(CC5)CC6)OC7=CCCC8CCC7=CCC8
512,C [C@@H] ( C S C 1 = N C 2 = C ( C 3 = C ( S 2 ) C C C C C 3 ) C ( = O ) N 1 C 4 = C C = C C = C 4 ) C # N,1 2 42 58 80 91 116 162 179 193 220 263 276 283 310 314 341 361 378 389 421 427 504 511 514 536 650 674 675 682 718 734 747 790 926 935 979 997 1028 1049 1057 1088 1093 1199 1200 1211 1302 1318 1369 1380 1384 1391 1393 1430 1581 1670 1679 1715 1738 1750 1817 1825 1855 1873 1905 1919 1954 1984 1993 1995 2006,CC(CSC1=NC2=C(C3=C(S2)CCCCC3)C(=O)N1C4=CC=CC=C4)C#N,CC(CSC1=NC2=C(C3=C(S2)CCCCC3)C(=O)N1C4=CC=CC=C4)C#N
513,C O C 1 = C C = C ( C = C 1 ) C 2 = C C ( = C O 2 ) C O,31 58 68 74 80 121 123 222 259 322 330 384 404 433 495 562 635 656 695 718 741 781 807 831 837 841 865 875 883 896 1057 1160 1233 1254 1372 1377 1380 1536 1677 1709 1750 1754 1863 1873 1924,COC1=CC=C(C=C1)C2=CC(=CO2)C3=CC(=CO3)C4=CC(=CO4)CO,COC1=CC=C(C=C1)C2=CC(=CO2)C3=CC(=CO3)C4=CC(=CO4)CO
514,C C ( C ) ( C ) O C ( = O ) N 1 C C C [C@@H] ( C 1 ) C ( = S ) N,2 93 97 110 114 140 220 231 369 392 446 490 559 601 602 606 650 695 739 807 926 935 963 974 1019 1025 1028 1033 1057 1065 1121 1171 1275 1325 1438 1480 1574 1588 1838 1859 1873 1917 2009 2015 2020 2034,CC(C)(C)OC(=O)N1CCCC(C1)C(=S)N2CCCC(C2)C(=O)N3CCCC(C3)C(=S)N,CC(C)(C)OC(=O)N1CCCC(C1)C(=S)N2CCCC(C2)C(=O)N3CCCC(C3)C(=S)N
515,C C 1 = C C ( = C C = C 1 ) / C = N \ N C ( = O ) N,140 256 309 318 402 650 694 713 725 807 864 875 924 959 1013 1039 1055 1057 1088 1152 1155 1171 1244 1303 1353 1380 1497 1526 1722 1750 1823 1824 1867 1873 1917 2008 2033,CC1=CC(=CC=C1)/C=N/N/C(=N/NC(=O)N)/N,CC1=CC(=CC=C1)/C=N/N/C(=N/NC(=O)N)/N
516,C C ( C ) ( C ) C 1 = C C ( = C C ( = C 1 O ) C ( C ) ( C ) C ) O C C ( = O ) [O-],14 80 104 114 202 319 322 380 392 419 532 574 628 650 695 715 775 785 807 875 1057 1199 1226 1254 1339 1380 1415 1452 1534 1537 1602 1655 1768 1852 1868 1873 1887 1917 2004,CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)OCC(=O)C(C)(C)C2=CC(=CC(=C2)OCC(=O)[O-])OCC(=O)[O-],CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)OCC(=O)C(C)(C)C2=CC(=CC(=C2)OCC(=O)[O-])OCC(=O)[O-]
517,C C ( C ) C C C C ( C ) C 1 C C C 2 C 1 ( C C C 3 = C 4 C C C ( C C 4 ( C ( C C 2 3 ) O C ( = O ) C ) C ) O ) C,1 5 8 34 80 146 243 249 271 283 318 327 406 455 508 519 521 562 578 590 594 641 650 676 679 681 695 706 739 753 807 826 858 881 916 926 1017 1019 1035 1057 1060 1126 1135 1142 1162 1257 1274 1292 1309 1325 1336 1380 1477 1514 1555 1615 1693 1704 1710 1730 1738 1761 1808 1821 1847 1858 1860 1884 1911 1917 1926 1996,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(C[C@H](C3=C4CC[C@@H](C[C@@]4(CC[C@@H]23)C)O)OC(=O)C)C,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(C[C@H](C3=C4CC[C@@H](C[C@@]4(CC[C@@H]23)C)O)OC(=O)C)C
518,C C C C N 1 C = C ( C = N 1 ) C N ( C 2 = C N = C ( C = C 2 ) C ( C ) C ) C ( = O ) C 3 C C C C 4 = C 3 C = C C = C 4 O,1 43 80 130 261 279 283 294 361 371 374 378 396 417 464 473 501 507 541 542 591 594 598 605 626 650 652 696 747 783 794 807 881 926 935 960 984 999 1019 1027 1028 1039 1057 1074 1088 1091 1096 1098 1118 1140 1145 1169 1221 1325 1348 1365 1380 1391 1452 1464 1492 1505 1513 1527 1535 1602 1607 1610 1644 1689 1738 1750 1754 1788 1810 1831 1873 1882 1895 1911 1917 2009,CCCCN1C=C(C=N1)CN(C2=CN=C(C=C2)C(C)C)C(=O)C3CCCC4=C3C=CC=C4O,CCCCN1C=C(C=N1)CN(C2=CN=C(C=C2)C(C)C)C(=O)C3CCCC4=C3C=CC=C4O
519,C C 1 C ( C 2 = C C = C C = C 2 N 1 C ) ( C ) C,92 187 188 280 312 425 611 622 716 789 854 878 935 1019 1057 1060 1088 1145 1162 1199 1230 1263 1274 1295 1296 1309 1376 1380 1460 1601 1647 1659 1670 1700 1750 1873 1980,CC1C2C3C(C(C2=C4C(C5=CC=CC=C5N4C)(C)C)N(C6=CC=CC=C6C3(C)C)C)C7C(N1C)C(C8=CC=CC=C8N7C)(C)C,CC1C2C3C(C(C2=C4C(C5=CC=CC=C5N4C)(C)C)N(C6=CC=CC=C6C3(C)C)C)C7C(N1C)C(C8=CC=CC=C8N7C)(C)C
520,C C 1 = C ( C ( = O ) N C ( = C 1 C C C ( = O ) N C C 2 = C C = C C = C 2 C N ( C ) C ) C ) C # N,41 57 79 80 197 213 252 255 293 314 333 358 419 452 473 507 533 634 650 652 660 674 690 692 723 750 790 807 881 921 1007 1048 1057 1088 1114 1136 1152 1163 1187 1199 1243 1314 1349 1380 1384 1527 1538 1564 1566 1589 1597 1721 1722 1745 1750 1764 1873 1898 1917 1938 2034 2043,CC1=C(C(=O)NC(=C1CCC(=O)NCC2=CC=CC=C2CN(C)C)[Se][Se]CCC(=O)NCC3=CC=CC=C3CN(C)C)C#N,CC1=C(C(=O)NC(=C1CCC(=O)NCC2=CC=CC=C2CN(C)C)[Se][Se]CCC(=O)NCC3=CC=CC=C3CN(C)C)C#N
521,C 1 = C ( C = C ( C 2 = C ( N N = C 2 1 ) Br ) C ( = O ) O ) Br,74 242 378 389 404 456 591 650 690 728 740 807 827 875 879 909 966 1047 1097 1114 1274 1380 1522 1618 1631 1725 1808 1873 1917 1932 1984 1991 2004,C1=C(C=C(C2=C(NN=C21)NO)C(=O)O)Br,C1=C(C=C(C2=C(NN=C21)NO)C(=O)O)Br
522,C O C C 1 C 2 C 1 C N C 2,80 197 466 470 545 576 592 622 661 695 841 873 915 926 945 1005 1019 1057 1114 1136 1238 1308 1435 1568 1625 1810 1946 2034 2039,COCC1C2CNCC2C(C1COC)C#CI,COCC1C2CNCC2C(C1COC)C#CI
523,C C ( C ) N C ( = S ) N ( C C N 1 C C O C C 1 ) C C 2 = C N = C ( N 2 C C 3 C C C O 3 ) S ( = O ) ( = O ) C C 4 = C C = C C = C 4 F,1 5 15 34 80 91 97 104 110 117 145 174 248 283 350 361 378 448 459 460 507 520 523 605 650 656 687 699 710 738 802 807 821 859 881 895 908 926 935 950 978 1019 1028 1032 1057 1068 1076 1088 1145 1152 1174 1199 1237 1263 1325 1349 1380 1391 1404 1405 1441 1452 1468 1476 1480 1482 1535 1597 1602 1614 1646 1650 1690 1750 1791 1836 1840 1849 1853 1873 1911 1918 1928 1929 1951 2034,CC(C)NC(=S)N(CCN1CCOCC1)CC2=CN=C(N2CC3CCCO3)S(=O)(=O)CC4=CC=CC=C4F,CC(C)NC(=S)N(CCN1CCOCC1)CC2=CN=C(N2CC3CCCO3)S(=O)(=O)CC4=CC=CC=C4F
524,C N 1 C ( = N N = N 1 ) S C 2 = N C ( = N C 3 = C C = C C = C 3 2 ) C 4 = C N = C C = C 4,32 116 186 257 289 290 370 378 389 437 442 464 519 552 647 736 741 747 773 823 833 853 935 966 983 996 1043 1057 1088 1097 1105 1145 1160 1164 1199 1302 1322 1357 1364 1380 1385 1400 1422 1535 1573 1586 1603 1716 1750 1783 1855 1866 1873 1889,CN1C(=NN=N1)SC2=NC(=NC3=CC=CC=C32)C4=CN=CC=C4SC5=NN=NN5C,CN1C(=NN=N1)SC2=NC(=NC3=CC=CC=C32)C4=CN=CC=C4SC5=NN=NN5C
525,C 1 = C C = C ( C = C 1 ) C 2 = N N = C ( N 2 C 3 = C C = C ( C = C 3 ) Br ) S C C ( = O ) N N = C C 4 = C C ( = C ( C = C 4 ) Cl ) Cl,25 41 51 58 80 116 233 309 318 341 352 366 378 384 389 433 490 561 650 666 685 694 723 725 728 736 747 807 864 875 909 924 930 935 940 1088 1090 1152 1155 1157 1160 1164 1191 1199 1260 1380 1402 1449 1506 1508 1509 1554 1569 1577 1631 1649 1683 1722 1750 1825 1867 1873 1876 1890 1917 1959 1983 1993 2020 2033,C1=CC=C(C=C1)C2=NN=C(N2C3=CC=C(C=C3)Br)SCC(=O)N/N=C\C4=CC(=C(C=C4)Cl)Cl,C1=CC=C(C=C1)C2=NN=C(N2C3=CC=C(C=C3)Br)SCC(=O)N/N=C\C4=CC(=C(C=C4)Cl)Cl
